date,place,seen,real,link,lon,lat,marker-color,marker-size,marker-symbol
04/08/1965,"Martines, California",light,Astro(Vega),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7469975-Martines-California.pdf,-121.660534,36.750389,#122c87,medium,lighthouse
05/08/1965,"Dayton, Ohio",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7441556-Dayton-Ohio.pdf,-84.1916069,39.7589478,#4089ba,medium,circle-stroked
05/08/1965,Pacific,flying object,rocket,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7470691-28-33N145W-Pacific-.pdf,-123.768029,46.5334929,#c713e7,medium,cross
05/08/1965,"SanAntonio, Texas",flying object,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7470716-SanAntonio-Texas.pdf,-98.4951405,29.4246002,#f90105,medium,triangle-stroked
05/08/1965,"Bellbrook, Ohio",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7471234-Bellbrook-Ohio.pdf,-84.0701766,39.6358399,#122c87,medium,lighthouse
05/08/1965,"Greensburg, Pennsylvania",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7471367-Greensburg-Pennsylvania.pdf,-79.5389289,40.3014581,#319f1d,medium,airport
05/08/1965,"Chicago, Illinois Area",flying object,balloon,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7471729-Chicago-IllinoisArea.pdf,-87.6244212,41.8755616,#c713e7,medium,cross
05/08/1965,"N Highland, California",flying object,Astro(Acturus),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7471767-NHighland-California.pdf,-117.2086513,34.1283442,#122c87,medium,lighthouse
05/08/1965,"Des Moines, Iowa",light,Astro(star/planet),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7471313-DesMoines-Iowa.pdf,-93.6037149,41.5910641,#122c87,medium,lighthouse
06/08/1965,"Macon, Georgia",flying object,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7471787-Macon-Georgia.pdf,-83.6324022,32.8406946,#319f1d,medium,airport
06/08/1965,"Manitou Springs, Colorado",flying object,balloon,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7471873-ManitouSprings-Colorado.pdf,-104.9178731,38.8585777,#c713e7,medium,cross
06/08/1965,"San Rafael, California",light,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7471923-SanRafael-California.pdf,-122.5310874,37.9735346,#319f1d,medium,airport
07/08/1965,"Andrews, Texas",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472195-Andrews-Texas.pdf,-102.5457155,32.3187158,#122c87,medium,lighthouse
07/08/1965,"McKinney, Texas",flying object,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472234-McKinney-Texas.pdf,-96.6154471,33.1976496,#f90105,medium,triangle-stroked
07/08/1965,"San Pablo, California",flying object,insufficient data,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472268-SanPablo-California.pdf,-122.3455263,37.9621457,#f90105,medium,triangle-stroked
07/08/1965,"Ft Carson, Colorado",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472357-FtCarson-Colorado.pdf,-104.779474394498,38.7415445,#319f1d,medium,airport
08/08/1965,"Calumet, Michigan",flying object,Astro(star/planet),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472424-Calumet-Michigan.pdf,-88.454006,47.246592,#122c87,medium,lighthouse
08/08/1965,"Seneca, Kansas",flying object,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472489-Seneca-Kansas.pdf,-96.064168,39.834165,#f90105,medium,triangle-stroked
08/08/1965,"Baltimore, Maryland",flying object,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472507-Baltimore-Maryland.pdf,-76.610759,39.2908816,#319f1d,medium,airport
08/08/1965,"Palos Verdes, California",flying object,Astro(Mars),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472520-PalosVerdes-California.pdf,-118.3707683,33.7483311,#122c87,medium,lighthouse
