date,place,seen,real,link,lon,lat,marker-color,marker-size,marker-symbol
7/10/1965,"Edwards AFB, California",flying object,Astro(star/planet),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8692927-EdwardsAFB-California.pdf,-117.943953325678,34.900814,#23ed0c,medium,rocket
8/10/1965,"Manhattan, New York",flying object,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8693777-Manhattan-NewYork.pdf,-73.9598295,40.7900869,#23ed0c,medium,rocket
10/10/1965,"Taipei",flying object,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8693985-Taipei.pdf,121.5636796,25.0375198,#23ed0c,medium,rocket
10/10/1965,"Laredo, Texas",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8694308-Laredo-Texas.pdf,-99.4953764,27.5199841,#23ed0c,medium,rocket
10/10/1965,"Miamisburg, Ohio",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8694398-Miamisburg-Ohio.pdf,-84.2866083,39.6428362,#23ed0c,medium,rocket
10/10/1965,"Huntsville, Alabama",light,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8694181-Huntsville-Alabama.pdf,-86.5859011,34.729847,#ebe30f,medium,star
11/10/1965,"Chicago, Illinois",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8694539-Chicago-Illinois.pdf,-87.6244212,41.8755616,#23ed0c,medium,rocket
12/10/1965,"Montgomery, New York",light,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8694828-Montgomery-NewYork.pdf,-74.4099745,42.8941269,#ebe30f,medium,star
14/10/1965,"New York, New York",flying object,birds,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8695352-NewYork-NewYork.pdf,-73.9871558,40.7308619,#23ed0c,medium,rocket
14/10/1965,"El Campo, Texas",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8695982-ElCampo-Texas.pdf,-96.2696867,29.1966405,#23ed0c,medium,rocket
15/10/1965,"Sunnyvale, California",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8696553-Sunnyvale-California.pdf,-122.0363496,37.3688301,#23ed0c,medium,rocket
17/10/1965,"Dayton, Ohio",flying object,insufficient data,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8689225-Dayton-Ohio.pdf,-84.1916069,39.7589478,#23ed0c,medium,rocket
17/10/1965,"Dayton, Ohio",flying object,Astro(star/planet),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8689225-Dayton-Ohio.pdf,-84.1916069,39.7589478,#23ed0c,medium,rocket
18/10/1965,"Litchfield, Nebraska",flying object,balloon,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8697432-Litchfield-Nebraska.pdf,-99.1556476,41.1575093,#23ed0c,medium,rocket
19/10/1965,"Vero Beach, Florida",flying object,balloon,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8698065-VeroBeach-Florida.pdf,-80.3975399,27.6387163,#23ed0c,medium,rocket
20/10/1965,"Eastern United States",flying object,balloon,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8698212-SNOWHILL-MARYLAND.pdf,-82.805994,37.5170432,#23ed0c,medium,rocket
20/10/1965,"Tillamook, Oregon",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8698484-Tillamook-Oregon.pdf,-123.844429,45.455921,#23ed0c,medium,rocket
20/10/1965,"Baker, Oregon",flying object,Astro(Capella),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8698281-Baker-Oregon.pdf,-117.6204818,44.7259637,#23ed0c,medium,rocket
21/10/1965,"Alamosa, Colorado",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8698558-Alamosa-Colorado.pdf,-105.8696009,37.469877,#23ed0c,medium,rocket
